league	id	name_ko	tier	score	note_ko
great	tinkaton	두드리짱	S	93	
great	altaria	파비코리	S	92	
great	empoleon	엠페르트	S	92	
great	mimikyu	따라큐	S	92	
great	altaria_shadow	그림자 파비코리	S	92	
great	empoleon_shadow	그림자 엠페르트	S	92	
great	quagsire_shadow	그림자 누오	S	92	
great	quagsire	누오	S	92	
great	jellicent	탱탱겔	S	92	
great	forretress	쏘콘	S	92	
great	ninetales	나인테일	S	92	
great	ninetales_shadow	그림자 나인테일	A	91	
great	feraligatr	장크로다일	A	91	
great	forretress_shadow	그림자 쏘콘	A	91	
great	corsola_galarian	가라르 코산호	A	91	
great	jumpluff	솜솜코	A	91	
great	clodsire	토오	A	91	
great	corviknight	아머까오	A	91	
great	fearow	깨비드릴조	A	91	
great	azumarill	마릴리	A	91	
great	feraligatr_shadow	그림자 장크로다일	A	91	
great	kingdra	킹드라	A	91	
great	guzzlord	악식킹	A	90	
great	lapras	라프라스	A	90	
great	corviknight_shadow	그림자 아머까오	A	90	
great	furret	다꼬리	A	90	
great	kingdra_shadow	그림자 킹드라	A	90	
great	dragonair_shadow	그림자 신뇽	A	90	
great	medicham	요가램	A	90	
great	sableye_shadow	그림자 깜까미	A	90	
great	seismitoad	두빅굴	A	90	
great	umbreon	블래키	A	90	
great	talonflame	파이어로	A	90	
great	dragonair	신뇽	A	90	
great	thievul	폭슬라이	A	90	
great	diggersby	파르토	A	90	
great	dusclops	미라몽	A	90	
great	grumpig	피그킹	A	90	
great	florges	플라제스	A	90	
great	lapras_shadow	그림자 라프라스	A	90	
great	sableye	깜까미	A	90	
great	wigglytuff	푸크린	A	90	
great	cradily	릴리요	A	89	
great	dusclops_shadow	그림자 미라몽	A	89	
great	mantine	만타인	A	89	
great	moltres_galarian	가라르 파이어	A	89	
great	blastoise	거북왕	A	89	
great	clefable	픽시	A	89	
great	talonflame_shadow	그림자 파이어로	A	89	
great	mandibuzz	버랜지나	A	89	
great	dewgong	쥬레곤	A	89	
great	malamar	칼라마네로	A	89	
great	steelix_shadow	그림자 강철톤	A	89	
great	charjabug	전지충이	A	89	
great	drapion_shadow	그림자 드래피온	A	89	
great	ninetales_alolan	알로라 나인테일	A	89	
great	ninetales_alolan_shadow	그림자 알로라 나인테일	A	89	
great	swampert	대짱이	A	89	
great	aegislash_shield	킬가르도	A	89	
great	bastiodon	바리톱스	A	89	
great	marowak_shadow	그림자 텅구리	A	89	
great	swampert_shadow	그림자 대짱이	A	89	
great	registeel	레지스틸	A	88	
great	hydreigon_shadow	그림자 삼삼드래	A	88	
great	malamar_shadow	그림자 칼라마네로	A	88	
great	melmetal	멜메탈	A	88	
great	turtonator	폭거북스	A	88	
great	dondozo	어써러셔	A	88	
great	oranguru	하랑우탄	A	88	
great	gourgeist_large	펌킨인	A	88	
great	gourgeist_super	펌킨인	A	88	
great	hydreigon	삼삼드래	A	88	
great	gourgeist_average	펌킨인	A	88	
great	samurott	대검귀	B	88	
great	doublade	쌍검킬	B	88	
great	gourgeist_small	펌킨인	B	87	
great	carbink	멜리시	B	87	
great	walrein	씨카이저	B	86	
great	hippowdon	하마돈	B	86	
great	araquanid	깨비물거미	B	86	
great	steelix	강철톤	B	86	
great	zweilous	디헤드	B	86	
great	spiritomb	화강돌	B	86	
great	araquanid_shadow	그림자 깨비물거미	B	86	
great	annihilape	저승갓숭	B	86	
