move_id,en,ko_site,ko_correct,used_by_count,example_mons
EARTHQUAKE,Earthquake,지진,,23,그림자 누오/누오/쏘콘
DRAGON_BREATH,Dragon Breath,용의숨결,,20,파비코리/그림자 파비코리/킹드라
HYDRO_PUMP,Hydro Pump,하이드로펌프,,19,엠페르트/그림자 엠페르트/장크로다일
DRAGON_PULSE,Dragon Pulse,용의파동,,16,파비코리/그림자 파비코리/라프라스
SHADOW_CLAW,Shadow Claw,섀도클로,,16,따라큐/장크로다일/그림자 장크로다일
BLIZZARD,Blizzard,눈보라,,15,엠페르트/그림자 엠페르트/킹드라
PSYCHIC,Psychic,사이코키네시스,,15,요가램/블래키/피그킹
FLASH_CANNON,Flash Cannon,러스터캐논,,14,두드리짱/엠페르트/그림자 엠페르트
SHADOW_BALL,Shadow Ball,섀도볼,,14,탱탱겔/피그킹/버랜지나
WATER_GUN,Water Gun,물대포,,13,그림자 누오/누오/장크로다일
BITE,Bite,물기,,13,장크로다일/그림자 장크로다일/거북왕
DRAGON_TAIL,Dragon Tail,드래곤테일,,13,악식킹/그림자 강철톤/강철톤
WATERFALL,Waterfall,폭포오르기,,12,엠페르트/그림자 엠페르트/장크로다일
STONE_EDGE,Stone Edge,스톤에지,,12,그림자 누오/누오/토오
CRUNCH,Crunch,깨물어부수기,,12,장크로다일/그림자 장크로다일/악식킹
MOONBLAST,Moonblast,문포스,,11,파비코리/그림자 파비코리/플라제스
ICE_BEAM,Ice Beam,냉동빔,,11,탱탱겔/장크로다일/마릴리
FEINT_ATTACK,Feint Attack,속여때리기,,11,나인테일/그림자 나인테일/그림자 깜까미
FIRE_BLAST,Fire Blast,불대문자,,11,나인테일/그림자 나인테일/파이어로
OUTRAGE,Outrage,역린,,11,킹드라/그림자 킹드라/어써러셔
METAL_CLAW,Metal Claw,메탈클로,,10,엠페르트/그림자 엠페르트/레지스틸
MUD_SHOT,Mud Shot,머드샷,,10,그림자 누오/누오/토오
DARK_PULSE,Dark Pulse,악의파동,,10,블래키/버랜지나/그림자 삼삼드래
ZEN_HEADBUTT,Zen Headbutt,사념의박치기,,10,픽시/하랑우탄/그림자 메탕구
FLAMETHROWER,Flamethrower,화염방사,,9,파비코리/그림자 파비코리/나인테일
