league,id,name_ko,partner1,partner2,partner3,covers,party_note
great,tinkaton,두드리짱,따라큐,악식킹,그림자 깜까미,메더·누오·엠페르트·그림자 나인테일·탱탱겔 / 메더·누오·엠페르트·탱탱겔 / 엠페르트·그림자 나인테일·탱탱겔,
great,ninetales_shadow,그림자 나인테일,따라큐,내룸벨트,두드리짱,파비코리·그림자 깜까미·엠페르트·탱탱겔 / 따라큐·파비코리·탱탱겔 / 따라큐·파비코리·그림자 깜까미,
great,corsola_galarian,가라르 코산호,두드리짱,따라큐,누오,그림자 깜까미·악식킹·내룸벨트·따라큐 / 그림자 깜까미·악식킹 / 그림자 깜까미·내룸벨트·두드리짱,
great,corviknight,아머까오,따라큐,파비코리,그림자 나인테일,메더·그림자 쏘콘·파비코리·그림자 나인테일·마릴리 / 그림자 쏘콘·그림자 나인테일 / 메더·그림자 쏘콘·마릴리,
great,quagsire_shadow,그림자 누오,따라큐,내룸벨트,두드리짱,파비코리·그림자 나인테일·탱탱겔 / 따라큐·파비코리·탱탱겔 / 따라큐·파비코리·내룸벨트,
great,quagsire,누오,따라큐,두드리짱,솜솜코,악식킹·파비코리·그림자 나인테일·탱탱겔 / 악식킹·파비코리·따라큐 / 악식킹·따라큐,
great,altaria,파비코리,내룸벨트,누오,그림자 깜까미,따라큐·탱탱겔 / 두드리짱·내룸벨트·엠페르트 / 내룸벨트·탱탱겔·엠페르트,
great,melmetal,멜메탈,따라큐,파비코리,그림자 깜까미,그림자 나인테일·누오·탱탱겔·파비코리 / 그림자 나인테일·누오 / 그림자 나인테일·탱탱겔,
great,empoleon,엠페르트,따라큐,악식킹,그림자 깜까미,탱탱겔·누오·악식킹·그림자 깜까미 / 탱탱겔·누오·그림자 깜까미 / 탱탱겔,
great,mantine,만타인,누오,솜솜코,내룸벨트,메더·내룸벨트·두드리짱 / 메더·따라큐 / 따라큐·탱탱겔,
great,ninetales,나인테일,따라큐,두드리짱,솜솜코,악식킹·엠페르트·파비코리 / 악식킹·파비코리·내룸벨트·따라큐 / 악식킹·따라큐,
great,empoleon_shadow,그림자 엠페르트,따라큐,악식킹,파비코리,누오·탱탱겔·파비코리·악식킹 / 누오·탱탱겔 / 누오,
great,florges,플라제스,누오,탱탱겔,따라큐,두드리짱·엠페르트·내룸벨트 / 두드리짱·엠페르트·그림자 나인테일 / 엠페르트·탱탱겔·그림자 나인테일,
great,thievul,폭슬라이,탱탱겔,따라큐,그림자 나인테일,두드리짱·마릴리·누오·요가램 / 마릴리·누오·요가램 / 두드리짱·마릴리·누오·요가램,
great,corviknight_shadow,그림자 아머까오,따라큐,파비코리,내룸벨트,그림자 나인테일·파비코리·그림자 깜까미·누오 / 그림자 나인테일·그림자 깜까미·누오 / 따라큐·파비코리,
great,mimikyu,따라큐,그림자 나인테일,엠페르트,누오,내룸벨트·솜솜코·다꼬리·아머까오·두드리짱 / 내룸벨트·솜솜코·두드리짱 / 내룸벨트·두드리짱,
great,feraligatr,장크로다일,따라큐,파비코리,그림자 깜까미,그림자 나인테일·누오·엠페르트 / 그림자 나인테일·누오 / 그림자 나인테일·엠페르트·내룸벨트,
great,jellicent,탱탱겔,두드리짱,따라큐,솜솜코,그림자 깜까미·악식킹·따라큐·내룸벨트 / 그림자 깜까미·악식킹·메더 / 악식킹·따라큐·메더,
great,altaria_shadow,그림자 파비코리,그림자 나인테일,엠페르트,탱탱겔,두드리짱·마릴리·장크로다일·내룸벨트 / 두드리짱·마릴리·장크로다일·내룸벨트 / 두드리짱·마릴리,
great,araquanid,깨비물거미,내룸벨트,따라큐,그림자 깜까미,따라큐·탱탱겔·파비코리 / 탱탱겔·파비코리 / 탱탱겔·내룸벨트,
great,furret,다꼬리,따라큐,두드리짱,엠페르트,악식킹·메더·그림자 나인테일·파비코리 / 악식킹·파비코리 / 두드리짱·그림자 나인테일·파비코리,
great,azumarill,마릴리,그림자 깜까미,따라큐,악식킹,탱탱겔·엠페르트·그림자 나인테일 / 탱탱겔·엠페르트·그림자 나인테일 / 탱탱겔·엠페르트,
great,clodsire,토오,따라큐,악식킹,내룸벨트,탱탱겔·누오·파비코리·그림자 깜까미 / 탱탱겔·누오·그림자 깜까미 / 따라큐·탱탱겔·파비코리,
great,fearow,깨비드릴조,따라큐,내룸벨트,두드리짱,파비코리·악식킹 / 따라큐·파비코리 / 따라큐·파비코리·내룸벨트·악식킹,
great,marowak,텅구리,따라큐,탱탱겔,악식킹,파비코리·누오·엠페르트·악식킹 / 파비코리·누오·엠페르트 / 누오·엠페르트,
great,annihilape,저승갓숭,내룸벨트,따라큐,그림자 깜까미,따라큐·탱탱겔·파비코리 / 탱탱겔·파비코리·그림자 나인테일 / 탱탱겔·그림자 나인테일,
great,annihilape_shadow,그림자 저승갓숭,내룸벨트,따라큐,그림자 깜까미,따라큐·탱탱겔·파비코리 / 탱탱겔·파비코리·그림자 깜까미 / 탱탱겔·내룸벨트,
great,feraligatr_shadow,그림자 장크로다일,따라큐,그림자 깜까미,엠페르트,그림자 나인테일·탱탱겔 / 그림자 나인테일·내룸벨트·탱탱겔 / 그림자 나인테일·내룸벨트·두드리짱,
great,malamar,칼라마네로,따라큐,두드리짱,솜솜코,악식킹·파비코리·그림자 깜까미 / 악식킹·따라큐·파비코리·그림자 깜까미 / 악식킹·따라큐,
great,sableye_shadow,그림자 깜까미,따라큐,두드리짱,탱탱겔,악식킹·파비코리·누오 / 악식킹·파비코리·따라큐 / 두드리짱·파비코리·누오,
great,electrode_hisuian,히스이 붐볼,따라큐,두드리짱,파비코리,그림자 나인테일·그림자 깜까미·악식킹·파비코리 / 그림자 깜까미·따라큐·악식킹·파비코리 / 그림자 나인테일·그림자 깜까미,
great,malamar_shadow,그림자 칼라마네로,탱탱겔,누오,따라큐,엠페르트·두드리짱·누오·파비코리 / 엠페르트·두드리짱 / 엠페르트·누오·파비코리,
great,lapras,라프라스,악식킹,그림자 깜까미,누오,그림자 깜까미·탱탱겔·엠페르트 / 탱탱겔·내룸벨트·엠페르트 / 그림자 깜까미·내룸벨트·엠페르트·두드리짱,
great,umbreon,블래키,따라큐,엠페르트,탱탱겔,그림자 나인테일·파비코리·악식킹·메더 / 두드리짱·그림자 나인테일·파비코리 / 두드리짱·그림자 나인테일·파비코리,
great,dondozo,어써러셔,따라큐,그림자 깜까미,내룸벨트,탱탱겔·파비코리 / 탱탱겔·내룸벨트 / 탱탱겔·따라큐·파비코리,
great,guzzlord,악식킹,그림자 나인테일,엠페르트,탱탱겔,두드리짱·마릴리·솜솜코·아머까오 / 두드리짱·마릴리·솜솜코 / 두드리짱·마릴리,
great,mandibuzz,버랜지나,따라큐,누오,두드리짱,메더·악식킹·토오 / 메더·두드리짱·토오·내룸벨트 / 악식킹·내룸벨트,
great,araquanid_shadow,그림자 깨비물거미,따라큐,내룸벨트,탱탱겔,파비코리·엠페르트·탱탱겔 / 파비코리·탱탱겔·따라큐 / 파비코리·엠페르트·두드리짱,
great,kingdra,킹드라,내룸벨트,솜솜코,누오,따라큐·탱탱겔·파비코리 / 따라큐 / 두드리짱·그림자 깜까미,
great,hippowdon,하마돈,따라큐,두드리짱,솜솜코,엠페르트·누오·악식킹·파비코리 / 따라큐·악식킹·파비코리 / 따라큐·악식킹,
great,kingdra_shadow,그림자 킹드라,내룸벨트,따라큐,솜솜코,따라큐·탱탱겔·파비코리 / 탱탱겔·악식킹·파비코리 / 따라큐·악식킹,
great,sableye,깜까미,누오,그림자 나인테일,엠페르트,두드리짱·내룸벨트·그림자 깜까미 / 두드리짱·누오·내룸벨트 / 두드리짱·내룸벨트,
great,jumpluff,솜솜코,따라큐,파비코리,탱탱겔,그림자 나인테일·엠페르트·파비코리 / 그림자 나인테일·아머까오 / 그림자 나인테일·엠페르트·두드리짱·파비코리,
great,blastoise,거북왕,내룸벨트,솜솜코,두드리짱,따라큐·탱탱겔 / 따라큐·악식킹 / 따라큐·악식킹·그림자 깜까미,
great,hydreigon_shadow,그림자 삼삼드래,따라큐,누오,탱탱겔,악식킹·토오·엠페르트 / 두드리짱·토오·엠페르트 / 두드리짱·토오·엠페르트,
great,carbink,멜리시,누오,탱탱겔,악식킹,두드리짱·엠페르트·메더 / 두드리짱·누오·엠페르트 / 누오·엠페르트·메더,
great,hippowdon_shadow,그림자 하마돈,따라큐,그림자 깜까미,악식킹,탱탱겔·파비코리·엠페르트·누오 / 탱탱겔·엠페르트 / 탱탱겔·엠페르트·누오,
great,medicham,요가램,그림자 깜까미,악식킹,따라큐,탱탱겔·그림자 나인테일 / 탱탱겔·그림자 깜까미 / 탱탱겔·그림자 깜까미·그림자 나인테일,
great,forretress,쏘콘,따라큐,파비코리,두드리짱,그림자 나인테일·파비코리·누오·악식킹 / 그림자 나인테일·누오 / 파비코리·악식킹·내룸벨트,
great,moltres_galarian,가라르 파이어,그림자 나인테일,누오,엠페르트,두드리짱·장크로다일·메더·아머까오 / 두드리짱·장크로다일·메더 / 두드리짱·장크로다일,
great,dragonair_shadow,그림자 신뇽,내룸벨트,누오,그림자 깜까미,따라큐·탱탱겔 / 두드리짱·엠페르트·내룸벨트 / 탱탱겔·엠페르트·내룸벨트,
great,turtonator,폭거북스,따라큐,내룸벨트,두드리짱,누오·파비코리·악식킹 / 따라큐·파비코리 / 따라큐·내룸벨트·파비코리·악식킹,
